অভিধান	ôbhidhan
ধন	dhôn
মাদারচোদ	madarchod
পাদা	pada
ধর্ষণ	dhôrôshôn
মাল	mal
মাল ফেলা	mal phela
পোর্ট	porţ
ছয়	chay
খেজুর	khejur
তারিখ	tarikh
নাসা	nāsā
ভাষা	bhasha
ভাষা	bhāṣā
ক্রিয়া-বিশেষণ	kriya-bisheshan
কারণ	karôn
রেলপথ	relpôth
বিলিয়ন	biliẏôn
আট	aţ
নয়	noy
দশ	daś
হাগু	hagu
সবাই	shôbai
বাদক	bādak
জাহান্নাম	jahannam
পেনসিল	pensil
নেদারল্যান্ডস	nedarlyanḑôs
হল্যান্	hôlyanḑ
সোভিয়েত ইউনিয়ন	sobhiyet i'uniyôn
সঙ্গীত	sônggit
যুদ্ধ	yuddhô
শান্তি	śānti
ষান্তি	śānti
শান্তি	šānti
এবং	ebông
আর	ar
দেশ	desh
রাষ্ট্র	rashţrô
বেলজিয়াম	beljiẏam
গ্রিস	gris
গ্রীস	gris
যুক্তরাজ্য	Juktôrajjô
মার্কিন যুক্তরাষ্ট্র	markin juktôrashţrô
জার্মানি	jarmani
চেক প্রজাতন্ত্র	cek prôjatôntrô
ফ্রান্স	phrans
নিউজিল্যান্ড	ni'ujilyanḑ
ইসরায়েল	israyel
ইস্তোনিয়া	istoniẏa
লিথুয়ানিয়া	lituyaniya
নরওয়ে	Nar'ōẏē
সুইডেন	su'iḑen
ফিনল্যান্ড	phinlænḑ
মরোক্কো	môrokko
তিউনিসিয়া	ti'unisiẏa
মিশর	mishôr
মিসর	misôr
দক্ষিণ আফ্রিকা	dôkhin aphrika
পোল্যান্ড	Polyanḑ
অস্ট্রিয়া	osṭriẏā
আইসল্যান্ড	aislyanḑô
মালয়েশিয়া	mālaẏēśiẏā
ফিলিপাইন	philipa'in
গ্রিনল্যান্ড	grinlænḑ
বেতন	betôn
এখন	êkhôn
ব্যাংক	bêngk
কর	kôr
আেপল	apel
আপেল	apel
অর্থনীতি	ôrthôniti
খোলা	khola
ফল	phal
স্তন্যপায়ী	stôn'yôpaẏi
স্বামী	sbami
পতি	pôti
ধর্ম	dhôrmô
সরকার	shôrkar
সর্কার	shôrkar
বড়	bôŗô
দেওয়াল	deoyal
দেওয়াল	deoyal
পাঠা	paṭha
বাজার	bajar
মার্কেট	markeţ
খাদ্য	khadyô
বিশ্ব	biśba
দুনিয়া	duniya
জগত	jôgôt
দুনিয়া	duniya
গ্রহণ করা	grôhan kôra
নেওয়া	neoẇa
নেওয়া	neoa
কিন্তু	kintu
গতকাল	gôtôkal
কম্পনী	kōmpāni
-ও	-o
নেটওয়ার্ক	neţoẇark
মোবাইল ফোন	moba'il phon
কাজ	kaj
কাজ করা	kaj kôra
প্রথম	prôthôm
রেডিও	reḑio
সতর্ক	sôtôrkô
সাবধান	sābdhān
সময়	shômôẏ
তুই	tui
আফগানিস্তান	aphganistan
আর্মেনিয়া	armeniẏa
আর্জেন্টিনা	arjenţina
আজারবাইজান	ajarba'ijan
বাংলাদেশ	bangladesh
বুলগেরিয়া	bulgeriya
বলিভিয়া	bôlibhiya
ব্রাজিল	brajil
বাহামা	Bāhāmā
ভুটান	bhuţan
বতসোয়ানা	batsōẏānā
কানাডা	kanaḑa
সুইজারল্যান্ড	su'ijārlyānḍ
চিলি	cili
চীন	cin
গণচীন	gôncin
কলম্বিয়া	kôlômbiẏa
কলোমবিয়া	kôlombiẏa
কিউবা	Ki'uba
ডেনমার্ক	ḑenmark
ডোমিনিকান প্রজাতন্ত্র	ḍōminikāna prajātantra
ইকুয়েডর	ikuyeḑôr
স্পেন	spen
ইথিওপিয়া	ithi'ōpiẏā
রক্ত	rôktô
এইডস	eiḑs
অসুখ	ôsukh
রোগ	rog
ঘানা	Ghana
গায়ানা	gayana
হন্ডুরাস	hanḍurās
হাইতি	hā'iti
হাঙ্গেরি	hangeri
ইন্দোনেশিয়া	indōnēśiẏā
ভারত	bharôt
ইরান	iran
ইতালি	itali
জামাইকা	jāmā'ikā
কেনিয়া	kēniẏā
কম্বোডিয়া	kômboḑiya
আশু	ashu
স্বাগতম	sbagôtôm
নতুন	nôtun
নতুন	nôtun
নতুন	nôtun
নতুন	nôtun
নতুন	nôtun
গ্যাস	gæs
লাওস	la'os
লিশ্টেনশ্টাইন	lishţenshţa'in
লুক্সেমবুর্গ	luksemburg
মোনাকো	monako
মঙ্গোলিয়া	môṅgoliẏa
মাল্টা	malṭa
মোজাম্বিক	mojambik
নামিবিয়া	nāmibiẏā
নাইজার	nāijār
নাইজেরিয়া	nāijēriẏā
অনুবাদ	ônubad
তর্জমা	tôrjôma
অনুবাদ	ônubad
প্রেম	prem
ভালোবাসা	bhalobasa
ভালবাসা	bhalôbasha
ফরাসি ভাষা	pharāsi bhāṣā
নেপাল	nepal
পেরু	peru
পাকিস্তান	pakistan
পর্তুগাল	pôrtugal
প্যারাগুয়ে	pæraguye
কাতার	katar
রোমানিয়া	romaniya
সুদান	sudan
স্লোভেনিয়া	slobheniya
এল সালভাদোর	el salbhador
সিরিয়া	siria
শ্যামদেশ	shyamdesh
ইউক্রেন	yukren
উগান্ডা	ugānḍā
যুক্তরাষ্ট্র	juktôrashţrô
উরুগুয়ে	uruguye
ভেনেজুয়েলা	bhenejuẏela
ভিয়েতনাম	bhiẏetnam
ইয়েমেন	iẏemen
জাম্বিয়া	jāmbiẏā
আধুনিক	adhunik
সফটওয়্যার	sôphţowar
কম্পিউটার	kômpiuţar
গণকযন্ত্র	gaṇakyantra
স্পেনীয় ভাষা	spēnīẏ bhāṣā
অস্ট্রেলিয়া	ôsţreliya
বসনিয়া ও হার্জেগোভিনা	bôsniya o harjegobhina
ব্রুনাই	bruna'i
ব্রুনেই	brune'i
বেলারুশ	belarush
উজবেকিস্তান	ujbekistan
টুভালু	ṭubhalu
তুর্কমেনিস্তান	turkômenistan
বিষ	bish
মানচিত্র	mancitrô
পূর্ব টিমোর	purbô ţimor
তাজিকিস্তান	tajikistan
সোমালিয়া	somaliẏa
শ্রীলঙ্কা	shrilôngka
দক্ষিণ কোরিয়া	dôkhin koriẏa
উত্তর কোরিয়া	uttôr koriẏa
সৌদি আরব	saudi arôb
ঝড়	jhaṛ
সেশেল	
রাশিয়া	rashiẏa
লেসোথো	lesotho
কিরগিজিস্তান	kirgijistan
কাজাখস্তান	kajakhstan
অর্থ	arth
টাকা	ţaka
পুছা	pucha
রাত	rat
সেনা	sena
পানীয়	panīẏô
গাই	gai
গরু	gôru
কোস্টা রিকা	kosṭā rikā
ক্রোয়েশিয়া	kroyeshiya
জর্জিয়া	jorjiya
গিনি	gini
গিনি-বিসাউ	gini-bisāu
মলদোভা	Môldobha
ব্রহ্মদেশ	brôhmôdeš
মায়ানমার	maẏanmar
বার্মা	barma
বার্মা	barma
ব্রহ্মদেশ	brôhmôdesh
শিশু	shishu
জি	ji
হ্যাঁ	hêñ
হ্যাঁ	ɦæ̃
দাঁড়ানো	dãŗano
দাঁড়ানো	dãŗano
মাইক্রোনেশিয়া	ma'ikroneshiya
উচ্চারণ	uccarôn
আইসল্যান্ডিক	ā'isalyānḍika
ম্যাসেডোনিয়া	mæseḑoniya
মেসিডোনিয়া	mesiḑoniya
ম্যাসেডোনিয়া প্রজাতন্ত্র	mæseḑoniya prôjatôntr
তাইওয়ান	ta'i'oẏan
রাষ্ট্রপতি	rashţrôpti
নিরাপত্তা	nirapôtta
চোদা	coda
চোদা	coda
ধুর বাল	dhur bal
ওয়েব ব্রাউজার	oyeb bôra'ujar
বন্ধ করা	bôndhô kôra
বন্ধ করা	bôndhô kôra
হত্যা করা	hôtya kôra
বধ করা	bôdh kôra
কেনা	kena
এখানে	ekhane
এখান	ekhan
গাছ	gach
ফিনীয় ভাষা	phinīẏa bhāṣā
দেওয়া	deoẇa
কলা	kôla
বাঘ	bagh
এগারো	egaro
বারো	baro
বোমা	boma
মেহেদী	mehedi
মেহেদী	mehedi
ইংল্যান্ড	inlænḑ
গির্জা	girja
ছোট	choṭô
টমেটো	ţômeţo
সোভিয়েত সমাজতান্ত্রিক প্রজাতন্ত্রের ঐক্য	sobhiyetô sômajôtantrikô prôjatôntrerô aikyô
জাপানি ভাষা	japani bhasha
জাপানি	japani
স্লোভেনীয় ভাষা	slobheniẏa bhasha
স্লোভেনীয়	slobheniẏa
টুল	ţul
কালো	kalo
কাল	kalô
নীল	nil
সোনা	seānā
সবুজ	sabuja
ম্যাজেন্টা রঙ্	myājēnṭā raṅ
গোলাপী	gōlāpī
লাল	lāl
লোহিত	lohit
রুপা	rupa
সাদা	shada
হলদে	hôlde
চতুর্থ	côturthô
তৃতীয়	tôtiyô
পঞ্চম	pôncôm
চীনা ভাষা	Cina bhasha
ভেরী	Bhērī
বেত	bēta
ষষ্ঠ	shôshţhô
সপ্তম	shôptôm
অষ্টম	ôshţôm
নবম	nôbôm
দশম	dôshôm
ইতালীয়	বাংলা
ফুটবল	phuţbôl
যুবক	yubôk
যুবতী	jubôti
তরুণ	tôruṇ
জোয়ান	joyan
তোরা	tōrā
তোমরা	tōmrā
আপনারা	āpnārā
তুই	tu'i
তুমি	tumi
আপনি	āpni
তুমি	tumi
লেখক	lekhôk
লেখা	lekha
ক্ষত	kshôt
ঘাত	ghat
নারী	nārī
রাজা	raja
রাণী	raṇi
সসেজ	sôsej
ডলার	ḍôlar
দেখা	dêkha
মধ্যরাত	madhyarāt
ইঁদুর	ĩdur
মাউস	maus
সাড়ে	ʃaɽe
পৌনে দুইটা	poune duiṭa
রাউটার	ra'uţar
কীবোর্ড	kiborḑ
বয়স	bôyôsh
ব্যক্তি	byakti
লোক	lok
রুশ ভাষা	rushô bhasha
রুশ	rushô
রাশান	rashan
রাশিয়ান	rashiyan
রুশী	rushi
রুশি	rushi
রুশ	ruś
বা	ba
অথবা	ôthôba
কিংবা	kingba
তেরো	tero
চোদ্দ	coddô
নুযুত	nuyuta
মিলিয়ন	miliẏôn
ঘনক	ghônôk
পনেরো	pônero
সতেরো	shôtero
সোলো	sholo
উনিশ	unish
কুড়ি	kuŗi
বিশ	bish
ত্রিশ	trish
তিরিশ	tirish
চল্লিশ	côllish
পঞ্চাশ	pôncash
ষাট	shaţ
সত্তর	sôttôr
আশি	ashi
নব্বই	nôbbôi
শত	śata
একশ	ēkaś
হাজার	hajar
কম্পাস	kampāsa
আঠারো	aţharo
দাবা	daba
ব্লোজব	blojôb
ব্লো-জব	blo-jôb
হাগু	hagu
হাগা	haga
হাগা	haga
একটু	ekaţu
একটু	ekaţu
একটু	ekaţu
হাত	hat
মুদ্রা 	mudrā
জানোয়ার	janoẇar
-ও	-o
বেশী	beshi
এই	ei
এইটা	eiţa
এটা	eţa
এইটি	eiţi
এটি	eţi
এইটা	eiţa
এটা	eţa
এইটি	eiţi
এটি	eţi
ইউনিকোড	i'unikoḑ
হরিণ	hariṇ
জেবরা	zebra
ছবি	chôbi
গাছ	gach
বৃক্ষ	brikkhô
ছেলে	chele
মেয়ে	meẏe
আমার	amar
আমাদের	amader
আর্টিকেল	arţikel
অকর্মক ক্রিয়া	ôkôrmôk kriya
ভবিষ্যৎ	bhôbishyôt
খামির	khāmira
চামড়া	camŗa
আবার	abar
দ্বীপ	dip
পাখী	pākhī
মাছ	mach
বিবাদ	bibad
কুইবেক	kuibēk
বায়ু	baẏu
প্রায়	pray
কোণ	kon
উত্তর	uttôr
পিঁপড়া	pim̐paṛā
বাহু	bāhu
শিল্প	shilpô
চাঁদ	cãd
উত্তর	uttôr
পূর্ব	purbô
দক্ষিণ	dôkshin
পশ্চিম	pôshcim
কোরিয়া	koriẏa
সাপ	shap
কি	ki
পেরেন্ট	perenţ
অভিভাবক	ôbhibhabôk
আব্বা	abba
পিতা	pita
বাবা	baba
মাতা	mata
মা	ma
ভাই	bhai
ভ্রাতা	bhrata
বোন	bon
ভগিনী	bhôgini
শিশু	śiśu
চাইল্ড	cā'ilḍ
ছেলে	chele
পুত্র	putrô
মেয়ে	meye
বালিকা	balika
দাদু	dadu
নানী	nani
নাতনি	natni
মৌমাছি	maumachi
মধু	môdhu
গাড়ি	gaŗi
ডানা	ḑana
শীত	śīt
গরম	gôrôm
তাপমাত্রা	tapmatra
তাপমাত্রা	tapmatra
তাজা	taja
জোস	jos
জোস	jos
থাই ভাষা	thai vasha
থাই।	thai
থাই	thai
রংধনু	rôngdhônu
অন্যান্য	ônnênnô
ওই	oi
সেই	shei
ওইটা	oiţa
ওটা	oţa
সেইটা	sheiţa
সেটা	sheţa
ওইটি	oiţi
ওটি	oţi
সেইটি	sheiţi
সেটি	sheţi
আঙ্গুল	angul
ফুল	phul
ভাল	bhalô
ভাল	valo
অঙ্গুষ্ঠ	aṅguṣṭh
নরওয়েজীয়	nar'ōẏējīẏa
নরওয়েজীয় ভাষা	nar'ōẏējīẏa bhāṣā
পাতিহাঁস	pātihāṁs
হাঁস	hãs
সবজি	shobji
খুব	khub
রাজ্য	rajyô
হোল	hol
নভোচারী	nâbhocari
প্রজেক্ট	prôjekţ
কত	kôtô
কিভাবে	kibhabe
কীভাবে	kibhabe
আফ্রিকান্স ভাষা	aphrikans bhasha
সাপ্তাহিক	shaptahik
সাপ্তাহিক	shaptahik
সাপ্তাহিক	shaptahik
চকলেট	côkôleţ
ক্রিম	krim
ম্যাজেন্টা রঙ্	myājēnṭā raṅ
ইঁদুর	ĩdur
ধূসর	dhūsara
বায়ুমণ্ডল	baẏumônḑôl
কাছিম	kachim
ধূমকেতু	dhumketu
পায়জামা	paẏjama
আবলুস	ablus
জলপাই	jôlôpa'i
কাছিম	kachim
কলম	kôlômô
লিখনী	likhôni
চেয়ার	ceyar
আসন	asôn
কেদারা	kedara
সভাপতি	sôbhapôti
সভানেত্রী	sôbhanetri
গোলাপ	golap
শৃঙ্খল	shrinkhôl
হেলিকোপটার	helikopţar
মশা	môsha
নমস্কার	nômôshkar
সালাম	salam
সালাম	salam
অম্বর	ômbôr
শহর	shôhôr
নগর	nôgôr
স্ট্রবেরি	sṭrabēri
লেবু	lebu
পান্না	panna
পেয়ারা	peyara
ভাত	bhat
ধান	dhan
ভাত	bhat
ডিম	ḍim
ডিম	ḍim
বাদামী	bādāmī
বিশেষ	bishesh
মসজিদ	môshjid
সহ্যশক্তি	sahyaśakti
শৌচাগার	śoucāgār
পায়খানা	pāẏekhānā
টয়লেট	ţôẏôleţ
বালতি	balti
ঈশ্বর	ishbôr
দেবতা	debôta
খারাপ	kharap
বন্ধু	bôndhu
বান্ধবী	bandhôbi
প্রজাতি	prajāti
সর্বনাম	sawrbonam
মাটি	maţi
বাদুড়	baduŗ
বিছানা	bichana
শোনা	shona
শোনা	shona
কামড়ানো	kamŗano
হাসি	haasi
ভাবা	bhaba
মনে রাখা	mône rakha
গান	gan
গাওয়া	gaoya
কাঁদা	kamda
কান্দা	kanda
ক্রন্দন করা	krôndôn kôra
চোখ	cokh
নয়ন	naẏan
শ্বাস ফেলা	shbasô phela
শুরু করা	shuru kôra
আরম্ভ করা	arômbhô kôra
শব্দ	xôbdô
সর	sôr
পজিট্রন	pôjiţrôn
পড়া	pôŗa
তন্তুসদৃশ বস্তু	tantusdr̥śa bastu
আমাদের	amader
আমরা	āmrā
সে	śe
আপনি	āpni
সে	śe
আপনি	āpni
তারা	tara
দাঁত	dãt
চুল	cul
কান	kan
কর্ণ	kôrnô
নাক	nak
মুখ	mukh
মোহানা	mohana
জিহ্বা	jihba
জিভ	jibh
জিব	jib
পা	pa
ফুট	phuṭa
হাঁটু	hãţu
গলা	gôla
ঘর্	ghar
শামুক	shamuk
মুখ	mukh
পিৎজা	pija
কে	ke
অন্টারিও	anṭāriō
গন্ধ	gôndhô
প্যান্ট	pyanţ
অনুবাদ করা	ônubad kôra
তর্জমা করা	tôrjôma kôra
জম্মু ও কাশ্মীর	jammu ō kāśmīr
হিমাচল প্রদেশ	himācal pradēś
পাঞ্জাব	Panjab
চন্ডীগড়	canḍīgaṛ
উত্তরপ্রদেশ	uttarpradēś
উত্তর প্রদেশ	uttar pradēś
সিক্কিম	sikkim
পশ্চিম বঙ্গ	Pôshcim Bônggô
পশ্চিমবঙ্গ	Pôshcimbônggô
বিহার	Bihar
ঝাড়খণ্ড	jhāṛakhaṇḍ
অরুণাচল প্রদেশ	aruṇācal pradēś
নাগাল্যান্ড	nāgālyānḍ
মিণপুর	miṇapur
মণিপুর	maṇipur
মিজোরাম	mijōrām
ত্রিপুরা	tripurā
মেঘালয়	mēghālaẏa
তামিলনাড়ু	tāmilanāṛu
তামিল নাড়ু	tāmil nāṛu
মহারাষ্ট্র	mahārāṣṭra
গুজরাট	gujarāṭa
গুজরাত	gujarāta
রাজস্থান	rājasthān
ছত্তীসগঢ়	chattīsagaṛh
হজ্জ	hôjj
ক্যানবেরা	kænbera
হাঁস	hãs
এড়ি	eŗi
হারা	hara
রাস্তা	rasta
রাস্তা	rasta
রাজপথ	rajpôth
করা	kôra
লাগানো	lagano
চোদা	coda
জরায়ু	jôrayu
কুঠার	kuţhar
আরবি	arôbi
আরবি ভাষা	Arôbi bhasha
বৃষ্টি	brishţi
ক্ষুধার্ত	kshudhartô
আবহ	abôh
আবহাওয়া	abôha'oya
ধনবাদ	dhonnobad
হায়দরাবাদ	haydôrabad
নতুন দিল্লি	Nôtun Dilli
পানাজি	pānāji
গান্ধীনগর	gāndhīnagar
রাঁচি	rām̐ci
রাঁচী	rām̐cī
তিরুবনন্তপুরম	tirubanantapuram
মুম্বাই	mumbā'i
আইজল	Āijal
গ্যাংটক	gyāṇṭak
আগরতলা	Agortôla
কলকাতা	Kôlkātā
বল	bôl
আইন	a'in
দূরত্ব	durôtba
জেলিফিশ	jeliphish
স্ত্রী	stri
পত্নী	pôtni
ট্রেন	ţren
স্কটল্যান্ড	skaṭlyānḍa
ব্যথা	bætha
কণ্ঠ্য	kaṇṭhya
গেয়	gēẏa
ছায়াপথ	chayapôth
পটি	paţi
ফিতা	phita
থালা	thala
প্রধানমন্ত্রী	prôdhanmôntri
হংকং	hôṃkôṃ
হং কং	hôṃ kôṃ
বিজ্ঞান	biggan
প্রযুক্তি	prôyukti
ভূমিকম্প	bhumikômpô
তেল	tel
পেট্রোলিয়াম	peţroliẏam
ভালুক	bhaluk
মিষ্টি	miṣṭi
বাষ্প	basp
ভাপ	bhap
নাগরিক	nagrik
পরিবার	pôribar
ওখানে	okhane
সেখানে	shekhane
ওখান	okhan
সেখান	shekhan
মুসলিম	muslim
ইসলাম	islam
রশ্মি	rôshmi
ভুরু	bhuru
চোখের পাতা	coker pata
জাগা	jaga
আনা	ana
হাগা	haga
নির্বাচন করা	nirbacôn kôra
আসা	asha
কাটা	kaţa
ঘুঘু	ghughu
আগুন	agun
অগ্নি	ôgni
স্বপ্ন	shôpnô
স্বপ্ন দেখা	shôpnô dekha
মাতাল	matalô
খাওয়া	khaoẇa
বোধ করা	bodh kôra
মাছি	māchi
ওড়া	ōḍā
বাক্য	bakyô
ভাষাবিজ্ঞান	bhāṣābijñān
ভাষাবৈজ্ঞানিক	bhashaboigganik
ভুলে যাওয়া	bhule jaoa
নিথর	nithara
যাওয়া	jaoa
গো	gō
লুকানো	lukano
লুকানো	lukano
আঘাত করা	aghat kôra
ধরা	dhôra
কবুতর	kôbutôr
মহাদেশ	môhadesh
বাজ	baj
মিথ্যা	mithya
আলো	alo
ভুল	bhul
পিঠ	piţh
আগামীকাল	agamikal
আগামীকাল	agamikal
মেশিন	mēśina
ভেড়া	bheŗa
মেষ	mesh
মাঝি	majhi
বৈঠা	baitha
সঙ্গে	shôngge
মদ	mad
শার্ট	sharţ
জুতা	jutā
ইত্যাদি	ittêdi
বলা	bôla
বজ্রধ্বনি	bôjrôdhbôni
কেন	kyano
কোথায়	kothaẹ
যেখানে	yekhane
বক্ষবন্ধনী	bôkshôbôndhôni
কাঁচি	kãci
ভবন	bhôbôn
বৃত্ত	brittô
ক্যামেরা	kæmera
পনির	pônir
ঘণ্টা	ghônţa
অপরাধ	ôpôradh
পাতক	patôk
পাপ	pap
সস্তা	sôsta
চিবুক	cibuk
তখন	tôkhôn
এরপর	erpôr
তারপর	tarpôr
সহজ	sôhôj
বুদ্বুদ	budbuda
ব্যাগ	bæɡ
নৌকা	nouka
শরীর	shôrir
দেহ	deho
বোতাম	botam
রুটি	ruṭi
চক	côk
মাখন	makhôn
পুল	pul
পরদা	pôrda
সুন্দর	sundôr
ইট	iţ
দেয়া	deya
প্রমাণিত	prômanit
গণতন্ত্র	gônôtôntrô
গণতন্ত্র	gônôtôntrô
রাজনীতি	rajniti
দৌড়ান	dowŗan
করাত	kôrat
খোঁজা	khõja
বেচা	beca
গুলি চালানো	guli cālānō
দেখানো	dekhano
বন্ধ করা	bôndhô kôra
বসা	bôsha
বসা	bôsha
ফোলা	fola
সাঁতার	sāṁtār
শেখান	shekhan
চিন্তা	cinta
বোঝা	bojha
কাঁদা	kamda
কান্দা	kanda
ক্রন্দন করা	krôndôn kôra
ভিজা	bhija
বায়ু	baẏu
রাঁধুনি	ramdhuni
বোতল	botôl
আচরণ	acôrôn
পরিবর্তন	poriborton
চিরুনি	ciruni
মেঘ	megh
মস্তিষ্ক	môstishkô
বিশ্লেষণ	bisleshôn
নঙ্গর	naṅgara
নোঙ্গর	nōṅgara
আন্তর্জাতিক ধ্বনিমূলক বর্ণমালা	
কয়লা	kôẏôla
পিঠা	piţha
সাফ	saph
পরিষ্কার	pôrishkar
পরিস্কার	pôrishkar
লোহা	lohā
পেট	peţ
জীবাণু	jibanu
বরফ	bôrôf
হ্রদ	hrad
দরজা	dôrja
ফটক	phaṭaka
পার্থক্য	parthôkkô
তফাত	tôfat
নোংরা	nonra
ছাগল	chagôl
সমতল	sômôtôl
বেহালা	behala
গিটার	giţar
পিয়ানো	piẏano
অক্টোপাস	ôkţopas
শুক্রাশয়	shukrashôẏ
বীচি	bici
প্রজাপতি	projapoti, prajapati
উট	uţ
গাধা	gadha
খরগোশ	khôrgosh
শশ	shasha
শুওর	shuor
শিয়াল	shiẏal
এক্সএইচটিএমএল	eks-eic-ţi-em-el
লেজার	lejar
মডেম	môḑem
খ্রীষ্টান	khrishţan
খ্রীষ্টান	khrishţan
থালা	thala
হৃৎপিন্ড	hritpinḑô
হার্ট	harţ
হৃদয়	hridoy
অন্ধকার	andhôkar
মৃত	mritô
মৃত্যু	mrittu
মরন	môrôṇ
যদি	jôdi
কিনা	kina
কি না	ki na
বিপদ	bipôdô
তালিকা	talika
দীর্ঘ	dirghô
লম্বা	lômba
লম্বা	lômba
কম	kôm
প্রশস্ত	prôshôstô
উচ্চ	uccô
জীবন্ত	jibôntô
জীবন	jibôn
প্লাজমা	plazma
গুরুত্বপূর্ণ	guruttopurno
দরকারী	dorkari
ঘর	ghôr
হাসপাতাল	haspatal
ডাক্তার	ḑaktar
ছুরি	churi
চাকু	caku
ধাতু	dhatu
পর্বত	pôrbôt
নুন	nun
চিনি	cini
শর্করা	śôrkôrā
লেজ	lej
বেত	betō
অসি	asi
ভারী	bhari
যকৃৎ	jôkrit
পুরোনো	purono
পুরোনো	purono
প্রবীণ	prôbin
নদী	nadi
ভয়	bhôẏ
ভয় করা	bhôe kôra
পাকস্থলী	pakôsthôli
পেট	peţ
চোষা	cosha
ধাক্কা দেওয়া	dhakka deoa
ধাক্কানো	dhakkano
ধাক্কা	dhakka
গুনতি	gunti
গণনা	gôṇna
বালু	bali
কুয়াশা	kuẏasha
ধোঁয়া	dhõẇa
কেউ না	keu na
সবাই	shôbai
অনেক	anek
বরফ	bôrôf
লিফট	liphţ
ইউরোপীয় ইউনিয়ন	i'uropiyô i'uniyôn
চাবি	cābi
ইঞ্জিন	injin
সাহস	shahôs
ইউরোপ	iurop
ইহুদি	ihudi
ইহুদি	ihudi
শিরা	shira
দুঃখিত	duḥkhito
মাফ করবেন	māf korbēn
সরি	sori
রাজতন্ত্র	rajtôntrô
রাষ্ট্র	rashţrô
ফেডারেশন	pheḑareshôn
অঙ্গ	ônggô
জীব	jib
আফ্রিকা	aphrika
অ্যান্টার্কটিকা	ôyanṭarkôţika
এশিয়া	eshiẏa
নির্বাচন	nirbacôn
কমিউনিজম	kômi'unijôm
সাম্যবাদ	samyôbad
সামুরাই	samura'i
চূর্ণ	curn
শিশির	shishir
হাতুড়ি	hatuŗi
বেশ্যা	beshya
দাড়ি	daŗi
ইউক্রেনীয় ভাষা	Iukreniẹ bhasha
রসায়ন	rôsayôn
আমেরিকান	āmērikān
মার্কিন	mārkin
মার্কিনী	mārkinī
অ্যানিমে	ênime
মাঙ্গা	manga
দল	dôl
পার্টি	parţi
পার্টি	parţi
পার্টি করা	parţi kôra
মূল্য	mulyô
উদজান	udjān
হিন্দি	Hindi
কৃষ্ণগহ্বর	krishnôgôhbôr
কৃষ্ণবিবর	krishnôbibôr
ব্ল্যাকহোল	blêk-hol
ব্ল্যাক হোল	blêk hol
প্রোটন	proţôn
বোকা	boka
কন্নড় ভাষা	kônnôŗô bhasha
পাসওয়ার্ড	pas'oẏarḑ
তার	tar
চাওয়া	caoẇa
সোফা	sopha
গন্ডার	ganḍār
কফি	kaphi
প্রাতরাশ	pratôrash
লিঙ্গ	ling
ফড়িং	phôŗing
